Ticker,SimFinId,Fiscal_Year,Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expenses,Operating_Income,Net_Interest_Expense,Net_Income_Tax,Net_Income,Common_Net_Income,Basic_Shares,Diluted_Shares,Research_Development,Depreciation_Amortization
ABSI,1250894,2023,5718000.0,,,-99898000.0,-94180000.0,-1010000.0,-100000.0,-110566000,-110566000,92028016.0,92028016.0,-48067000.0,-13999000.0
ABSI,1250894,2024,4534000.0,,,-113422000.0,-108888000.0,-565000.0,-70000.0,-103106000,-103106000,110239870.0,110239870.0,-63859000.0,-13389000.0
ABT,63877,2020,34608000000.0,-15003000000.0,19605000000.0,-14248000000.0,5357000000.0,-500000000.0,-497000000.0,4495000000,4495000000,1773000000.0,1786000000.0,-2420000000.0,-2132000000.0
ABT,63877,2021,43075000000.0,-18537000000.0,24538000000.0,-16113000000.0,8425000000.0,-490000000.0,-1140000000.0,7071000000,7071000000,1768286969.0,1782000000.0,-2742000000.0,-2047000000.0
ABT,63877,2022,43653000000.0,-19142000000.0,24511000000.0,-16149000000.0,8362000000.0,-375000000.0,-1373000000.0,6933000000,6933000000,1771230274.0,1786000000.0,-2888000000.0,-2013000000.0
ABT,63877,2023,40109000000.0,-17975000000.0,22134000000.0,-15656000000.0,6478000000.0,-252000000.0,-941000000.0,5723000000,5723000000,1740000000.0,1749000000.0,-2741000000.0,-1966000000.0
ABT,63877,2024,41950000000.0,-18706000000.0,23244000000.0,-16419000000.0,6825000000.0,-215000000.0,6389000000.0,13402000000,13402000000,1740000000.0,1748000000.0,-2844000000.0,-1878000000.0
ABTL,445589,2020,76570000.0,-52890000.0,23680000.0,-29204000.0,-5524000.0,-1524000.0,-10000.0,-6820000,-6820000,13144314.0,13144314.0,,-1711000.0
ABTL,445589,2021,71585000.0,-51254000.0,20331000.0,-26796000.0,-6465000.0,-1011000.0,,-5659000,-5659000,13115384.0,13115384.0,,-653000.0
ABUS,953888,2020,6914000.0,,,-64183000.0,-57269000.0,-3270000.0,,-63745000,-75868000,75835378.0,75835378.0,-49338000.0,
ABUS,953888,2021,10988000.0,,,-82638000.0,-71650000.0,-2730000.0,,-76247000,-88386000,101286351.0,101286351.0,-65502000.0,
ABUS,953888,2022,39019000.0,,,-102242000.0,-63223000.0,466000.0,-4444000.0,-69456000,-69456000,150939337.0,150939337.0,-84408000.0,
ABUS,953888,2023,18141000.0,,,-96175000.0,-78034000.0,5229000.0,,-72849000,-72849000,165960379.0,165960379.0,-73700000.0,
ABUS,953888,2024,6171000.0,,,-76145000.0,-69974000.0,6448000.0,,-69920000,-69920000,185608874.0,185608874.0,-54037000.0,
ABVC,15112453,2022,969783.0,-286415.0,683368.0,-15797780.0,-15114412.0,-106151.0,-797778.0,-16423239,-16423239,3166460.0,3015348.0,-2693457.0,
ABVC,15112453,2023,152430.0,-302037.0,-149607.0,-6617127.0,-6766734.0,-1128190.0,-256006.0,-7788050,-7788050,4335650.0,4335650.0,-1062916.0,
AC,919941,2020,18983000.0,,,-31452000.0,-12469000.0,8495000.0,-9374000.0,18816000,18816000,22274000.0,22274000.0,,
AC,919941,2021,20924000.0,-24457000.0,-3533000.0,-15543000.0,-19076000.0,11799000.0,-17705000.0,59203000,59203000,22059000.0,22059000.0,,
AC,919941,2022,15228000.0,-18883000.0,-3655000.0,-7607000.0,-11262000.0,10437000.0,14943000.0,-48907000,-48907000,22024000.0,22024000.0,,
AC,919941,2023,12683000.0,-17246000.0,-4563000.0,-12384000.0,-16947000.0,24796000.0,-9137000.0,37451000,37451000,21771.0,21771.0,,
AC,919941,2024,13175000.0,-18293000.0,-5118000.0,-13635000.0,-18753000.0,32233000.0,-8307000.0,44328000,44328000,21347000.0,21347000.0,,
ACA,919864,2020,1935600000.0,-1553600000.0,382000000.0,-223100000.0,158900000.0,-10600000.0,-31600000.0,106600000,106600000,48000000.0,48500000.0,,
ACA,919864,2021,2036400000.0,-1680500000.0,355900000.0,-256000000.0,99900000.0,-23400000.0,-14000000.0,69600000,69600000,48200000.0,48600000.0,,
ACA,919864,2022,2242800000.0,-1831700000.0,411100000.0,-262800000.0,148300000.0,-31000000.0,-70400000.0,245800000,245800000,48200000.0,48500000.0,,
ACA,919864,2023,2307900000.0,-1864100000.0,443800000.0,-261100000.0,182700000.0,-28100000.0,-36700000.0,159200000,159200000,48500000.0,48700000.0,,
ACA,919864,2024,2569900000.0,-2054700000.0,515200000.0,-320000000.0,195200000.0,-70900000.0,-36300000.0,93700000,93700000,48600000.0,48800000.0,,
ACAC,15394174,2022,,,,-714479.0,-714479.0,1165977.0,-234274.0,217224,217224,4818436.0,4818436.0,,
ACAC,15394174,2023,,,,-801157.0,-801157.0,2118942.0,-431419.0,886366,886366,4818436.0,,,
ACAD,445591,2024,957797000.0,-81841000.0,875956000.0,-791677000.0,84279000.0,25458000.0,-31624000.0,226451000,226451000,165717000.0,166362000.0,-303249000.0,
ACAH,10656706,2021,,-7121669.0,-7121669.0,,-7121669.0,23699.0,,-9213041,-9213041,35876712.0,35876712.0,,
ACAH,10656706,2022,,-4849949.0,-4849949.0,,-4849949.0,4645291.0,-772892.0,17994321,17994321,43125000.0,43125000.0,,
ACAN,654226,2020,503512.0,-22500.0,481012.0,-2429241.0,-1948229.0,-522789.0,,-709343,-709343,23504820.0,23504820.0,,
ACAN,654226,2021,2028551.0,-38149.0,1990402.0,-1946109.0,44293.0,-907186.0,,-862893,-862893,23877629.0,23877629.0,,
ACAN,654226,2022,2927819.0,-45950.0,2881869.0,-2399142.0,482727.0,-655971.0,,-173244,-173244,24333911.0,24333911.0,,
